Jugador;País;Posc;Equipo;Liga;Edad;PJ;PG;PE;PP;Puntosjugador;Pts;Titular;Suplente;Mín;90 s;Gls;GC;Ass;G-TP;T.Penalti;Penal.Anotado;TA;TR;xG;xAG;Avances;Pases.Peligrosos;Pases.Recibidos;Valor Mercado (millones de e);Salario semanal;Salario anual;Dis;G/T;G-xG;Posesion;Regates;RegatesExt;RegExitosos%;DesafiosDef;DesafExt%;DisBloq;Intercep;Despejes;onG;onGC;Dentro-Fuera;Dentro-Fuera_xG
Erling Haaland;NOR;DL;Manchester City;PremierLeague;23;31;28;7;3;2,32;91;29;2;2552;28,4;27;34;5;20;7;8;1;0;29,2;4,3;35;26;126;180;375000;19500000;113;0,18;-2,2;65,2;30;12;40;3;66,7;1;2;16;65;25;-0,87;-0,02
Jude Bellingham;ENG;CC;Real Madrid;LaLiga;20;28;29;8;1;2,46;95;27;1;2315;25,7;19;26;6;18;1;1;5;1;11,1;5,3;85;196;177;180;400577;20830000;62;0,29;7,9;59,2;97;50;51,5;36;33,3;5;21;17;57;16;-0,04;0,09
Lamine Yamal;ESP;DL;Barcelona;LaLiga;16;37;26;7;5;2,22;85;22;15;2201;24,5;5;44;5;5;0;0;3;0;5,2;6,2;123;80;350;90;32115;1670000;58;0,09;-0,2;64,3;160;70;43,8;48;37,5;0;19;11;57;33;0,17;-0,15
Bukayo Saka;ENG;DL;Arsenal;PremierLeague;21;35;28;5;5;2,29;89;35;0;2919;32,4;16;29;9;10;6;6;4;0;15,5;10,5;155;126;508;140;195000;10140000;102;0,1;0,5;58,2;122;49;40,2;59;44,1;2;15;24;78;27;-0,4;0,04
Phil Foden;ENG;DL;Manchester City;PremierLeague;23;35;28;7;3;2,34;91;33;2;2857;31,7;19;34;8;19;0;0;2;0;10,3;8,4;93;168;269;150;225000;11700000;105;0,18;8,7;65,2;102;47;46,1;31;41,9;0;13;18;75;27;-0,73;-0,18
Federico Valverde;URU;CC;Real Madrid;LaLiga;25;37;29;8;1;2,49;95;33;4;2904;32,3;2;26;7;2;0;0;2;0;3,5;5,8;104;231;102;100;320577;16670000;56;0,04;-1,5;59,2;44;22;50;42;57,1;2;43;40;76;22;0,45;0,3
Cole Palmer;ENG;DL;Chelsea;PremierLeague;21;33;18;9;11;1,7;63;29;4;2607;29;22;63;11;13;9;9;7;0;18,2;11,1;117;197;195;80;75000;3900000;100;0,13;3,8;58,6;104;52;50;19;42,1;2;20;13;66;46;1,35;0,13
Rodri;ESP;CC;Manchester City;PremierLeague;27;34;28;7;3;1,45;91;34;20;2931;32,6;8;34;9;8;0;0;8;1;4,1;3,9;76;376;55;110;220000;11440000;62;0,13;3,9;65,2;64;42;65,6;21;38,1;0;8;2;10;13;-0,48;-0,39
Declan Rice;ENG;CC;Arsenal;PremierLeague;24;38;28;5;5;2,34;89;37;1;3225;35,8;7;29;8;7;0;0;5;0;3,3;5,3;75;278;64;120;240000;12480000;58;0,12;3,7;58,2;46;21;45,7;57;56,1;11;44;52;84;28;-1,21;-0,18
Martin Ødegaard;NOR;CC;Arsenal;PremierLeague;24;35;28;5;5;2,37;89;35;0;3091;34,3;8;29;10;6;2;2;2;0;7,4;9,6;91;344;202;110;240000;12480000;75;0,08;0,6;58,2;81;37;45,7;58;29,3;1;15;5;81;23;0,59;0,04
Pedri;ESP;CC;Barcelona;LaLiga;20;24;26;7;5;2,08;85;16;8;1476;16,4;4;44;2;4;0;0;3;0;3,1;4,2;41;136;81;80;180385;9380000;15;0,27;0,9;64,3;38;16;42,1;27;29,6;3;14;10;32;20;-0,33;0,03
Rodrygo;BRA;DL;Real Madrid;LaLiga;22;34;29;8;1;2,44;95;28;6;2380;26,4;10;26;5;10;0;1;2;0;11,7;4;159;90;301;100;240385;12500000;86;0,12;-1,7;59,2;147;60;40,8;19;26,3;0;8;6;53;20;-1,18;-0,2
Luis Díaz;COL;DL;Liverpool;PremierLeague;26;37;24;10;4;2,14;82;32;5;2629;29,2;8;41;5;8;0;0;3;0;11,9;5,7;137;113;302;75;55000;2860000;94;0,09;-3,9;61,3;140;67;47,9;30;23,3;0;3;8;67;33;-0,09;-0,24
Aurélien Tchouaméni;FRA;CC;Real Madrid;LaLiga;23;27;29;8;1;2,67;95;22;5;1987;22,1;3;26;1;3;0;0;7;0;1,3;0,9;28;111;15;85;240385;12500000;27;0,11;1,7;59,2;13;6;46,2;18;50;13;28;52;48;13;-0,05;0,2
Eduardo Camavinga;FRA;CC;Real Madrid;LaLiga;20;31;29;8;1;2,45;95;21;10;1817;20,2;0;26;2;0;0;0;9;0;0,9;1,4;49;106;31;90;240385;12500000;17;0;-0,9;59,2;69;36;52,2;39;59;8;29;29;47;14;0,06;0,03
Gavi;ESP;CC;Barcelona;LaLiga;18;12;26;7;5;2,25;85;10;2;944;10,5;1;44;1;1;0;0;5;0;0,9;1,1;26;39;38;90;130769;6800000;9;0,11;0,1;64,3;22;12;54,5;36;50;3;8;16;22;11;0,18;0,26
Raphinha;BRA;DL;Barcelona;LaLiga;26;28;26;7;5;2,14;85;17;11;1368;15,2;6;44;9;5;1;1;4;1;7,4;5,7;49;57;164;50;240385;12500000;58;0,09;-1,4;64,3;46;24;52,2;18;22,2;1;13;11;30;14;0,22;0,17
Alexis Mac Allister;ARG;CC;Liverpool;PremierLeague;24;33;24;10;4;2,15;82;31;2;2599;28,9;5;41;5;4;1;1;7;1;3,7;3,6;44;209;48;75;150000;7800000;43;0,09;1,3;61,3;34;18;52,9;125;47,2;8;35;25;62;34;-0,89;-0,11
Bruno Guimarães;BRA;CC;Newcastle Utd;PremierLeague;25;37;18;6;14;1,62;60;37;0;3263;36,3;7;62;8;7;0;0;9;0;4,8;6,4;65;283;73;85;160000;8320000;48;0,15;2,2;52,2;132;72;54,5;77;51,9;14;35;20;81;60;-0,57;1,63
Moisés Caicedo;ECU;CC;Chelsea;PremierLeague;21;35;18;9;11;1,74;63;33;2;2866;31,8;1;63;3;1;0;0;11;0;0,4;2,6;27;173;27;75;150000;7800000;13;0,08;0,6;58,6;56;26;46,4;60;60;25;37;44;67;50;1,02;0,15
William Saliba;FRA;DF;Arsenal;PremierLeague;22;38;28;5;5;2,34;89;38;0;3420;38;2;29;1;2;0;0;4;0;1,6;0,2;16;157;6;80;190000;9880000;10;0,2;0,4;58,2;15;10;66,7;27;74,1;17;29;81;91;29;;
Alexander Isak;SWE;DL;Newcastle Utd;PremierLeague;23;30;18;6;14;1,5;60;27;3;2255;25,1;21;62;2;16;5;6;1;0;20,3;3,7;68;71;129;70;120000;6240000;72;0,22;0,7;52,2;74;42;56,8;8;25;1;6;13;51;41;-0,61;-0,19
Dominik Szoboszlai;HUN;CC;Liverpool;PremierLeague;22;33;24;10;4;2,12;82;25;8;2104;23,4;3;41;2;3;0;0;1;0;3,7;5,8;75;152;160;75;120000;6240000;60;0,05;-0,7;61,3;56;24;42,9;50;32;2;15;16;42;23;-0,97;-0,09
Enzo Fernández;ARG;CC;Chelsea;PremierLeague;22;28;18;9;11;1,46;63;26;2;2209;24,5;3;63;2;2;1;2;7;0;6,2;3,4;52;210;54;75;180000;9360000;45;0,04;-3,2;58,6;44;23;52,3;65;41,5;13;17;28;41;47;-1,73;-0,73
